Location,Governor Political Affiliation
Alabama,Republican
Alaska,Republican
Arizona,Republican
Arkansas,Republican
California,Democrat
Colorado,Democrat
Connecticut,Democrat
Delaware,Democrat
District of Columbia,Democrat
Florida,Republican
Georgia,Republican
Hawaii,Democrat
Idaho,Republican
Illinois,Democrat
Indiana,Republican
Iowa,Republican
Kansas,Democrat
Kentucky,Democrat
Louisiana,Democrat
Maine,Democrat
Maryland,Republican
Massachusetts,Republican
Michigan,Democrat
Minnesota,Democrat
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Democrat
New Hampshire,Republican
New Jersey,Democrat
New Mexico,Democrat
New York,Democrat
North Carolina,Democrat
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democrat
Pennsylvania,Democrat
Rhode Island,Democrat
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
Virginia,Democrat
Washington,Democrat
West Virginia,Republican
Wisconsin,Democrat
Wyoming,Republican
